"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"binom","binom","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1-1",NA,NA,NA,NA,"lattice, polynom, tcltk, ggplot2",NA,"GPL",NA,NA,NA,NA,"yes","4.0.0"
"BiocManager","BiocManager","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.30.12",NA,NA,"utils",NA,"BiocVersion, remotes, rmarkdown, testthat, withr, curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.2"
"bit","bit","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.4",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"bit64","bit64","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"bitops","bitops","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0-6",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"blavaan","blavaan","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3-15",NA,"R(>= 3.5.0), methods, lavaan(>= 0.6-5), Rcpp(>= 0.12.15),
RcppParallel (>= 5.0.1)","stats, utils, graphics, MCMCpack, coda, mnormt, nonnest2(>=
0.5-5), loo(>= 2.0), rstan(>= 2.19.2), rstantools(>= 1.5.0),
bayesplot, Matrix, future.apply","StanHeaders (>= 2.18.1), rstan (>= 2.19.2), BH (>= 1.69.0),
Rcpp (>= 0.12.15), RcppEigen (>= 0.3.3.4.0), RcppParallel (>=
5.0.1)","runjags(>= 2.0.4-2), modeest(>= 2.3.3), rjags, semTools,
testthat(>= 2.0.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.2"
"blob","blob","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.1",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"blockrand","blockrand","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"blogdown","blogdown","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2",NA,NA,"rmarkdown (>= 2.6), bookdown (>= 0.14), knitr (>= 1.25),
htmltools, yaml (>= 2.1.19), httpuv (>= 1.4.0), later, xfun (>=
0.21), servr (>= 0.21)",NA,"testit, shiny, miniUI, stringr, rstudioapi, tools, processx,
whoami",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"bookdown","bookdown","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.21",NA,NA,"htmltools (>= 0.3.6), knitr (>= 1.22), rmarkdown (>= 2.4),
xfun (>= 0.13), tinytex (>= 0.12), yaml (>= 2.1.19)",NA,"htmlwidgets, rstudioapi, miniUI, rsconnect (>= 0.4.3), servr
(>= 0.13), shiny, testit (>= 0.9), tufte, webshot",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"boot","boot","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3-27","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.0.2"
"boxcoxmix","boxcoxmix","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.28",NA,"R (>= 3.3.0)","statmod(>= 1.4.27), qicharts(>= 0.5.4), npmlreg(>= 0.46-1)",NA,"nlme, mdscore, flexmix, utils",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"brew","brew","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0-6",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.0.0"
"bridgesampling","bridgesampling","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1-2",NA,"R (>= 3.0.0)","mvtnorm, Matrix, Brobdingnag, stringr, coda, parallel, scales,
utils, methods",NA,"testthat, Rcpp, RcppEigen, R2jags, rjags, runjags, knitr,
rmarkdown, R.rsp, BayesFactor, rstan, rstanarm, nimble,
MCMCpack",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"brio","brio","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.3",NA,NA,NA,NA,"covr, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"brms","brms","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.15.0",NA,"R (>= 3.5.0), Rcpp (>= 0.12.0), methods","rstan (>= 2.19.2), ggplot2 (>= 2.0.0), loo (>= 2.3.1), Matrix
(>= 1.1.1), mgcv (>= 1.8-13), rstantools (>= 2.1.1), bayesplot
(>= 1.5.0), shinystan (>= 2.4.0), projpred (>= 2.0.0),
bridgesampling (>= 0.3-0), glue (>= 1.3.0), future (>= 1.19.0),
matrixStats, nleqslv, nlme, coda, abind, stats, utils,
parallel, grDevices, backports",NA,"testthat (>= 0.9.1), emmeans (>= 1.4.2), cmdstanr (>= 0.1.3),
RWiener, rtdists, mice, spdep, mnormt, lme4, MCMCglmm,
splines2, ape, arm, statmod, digest, diffobj, R.rsp, knitr,
rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"Brobdingnag","Brobdingnag","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2-6",NA,"R (>= 2.13.0), methods",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.0.2"
"broom","broom","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.8.0",NA,"R (>= 3.1)","backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, methods, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr
(>= 1.0.0), ggplot2",NA,"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot,
btergm (>= 1.10.6), car, caret, cluster, cmprsk, coda, covr,
drc, e1071, emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0),
gam (>= 1.15), gee, geepack, glmnet, glmnetUtils, gmm, Hmisc,
irlba, joineRML, Kendall, knitr, ks, Lahman, lavaan, leaps,
lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38), lsmeans, maps,
maptools, margins, MASS, Matrix, mclust, mediation, metafor,
mfx, mgcv, mlogit, modeldata, modeltests, muhaz, multcomp,
network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA, psych,
quantreg, rgeos, rmarkdown, robust, robustbase, rsample,
sandwich, sp, spdep (>= 1.1), spatialreg, speedglm, spelling,
survey, survival, systemfit, testthat (>= 2.1.0), tseries,
vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"broom.mixed","broom.mixed","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.9.4",NA,NA,"broom, coda, dplyr, forcats, methods, nlme, purrr, stringr,
tibble, tidyr, furrr",NA,"brms, dotwhisker, knitr, testthat, gamlss, gamlss.data,
ggplot2, GLMMadaptive, glmmADMB, glmmTMB, lmerTest, lme4,
Matrix, MCMCglmm, mgcv, pander, pbkrtest, rstan, rstanarm,
rstantools, R2jags, TMB, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"BRRR","BRRR","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2",NA,NA,"audio, stringr (>= 1.0.0), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.1"
"bslib","bslib","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.5.1",NA,"R (>= 2.10)","grDevices, htmltools (>= 0.5.1), jsonlite, sass (>= 0.4.0),
jquerylib (>= 0.1.3), rlang, magrittr",NA,"shiny (>= 1.6.0), rmarkdown (>= 2.7), thematic, knitr,
testthat, withr, rappdirs, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"BWStest","BWStest","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.2",NA,NA,"memoise, Rcpp (>= 0.12.3)","Rcpp","testthat",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.0.0"
"cachem","cachem","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.5",NA,NA,"rlang, fastmap",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"caladown","caladown","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.2",NA,NA,"blogdown, hugodown, rstudioapi, usethis, curl, utils, brio,
fs, rappdirs, rmarkdown, yaml, thematic, ggplot2, scico, dplyr,
tibble, rlang",NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"callr","callr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.7.0",NA,NA,"processx (>= 3.5.0), R6, utils",NA,"cli, covr, ps, rprojroot, spelling, testthat, withr (>=
2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"captioner","captioner","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.2.3",NA,NA,NA,NA,"knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"car","car","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.0-10",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, rio, lme4, nlme",NA,"alr4, boot, coxme, knitr, leaps, lmtest, Matrix,
MatrixModels, rgl (>= 0.93.960), sandwich, SparseM, survival,
survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"carData","carData","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.0-4",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"caret","caret","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","6.0-86",NA,"R (>= 3.2.0), lattice (>= 0.20), ggplot2","foreach, methods, plyr, ModelMetrics (>= 1.2.2.2), nlme,
reshape2, stats, stats4, utils, grDevices, recipes (>= 0.1.10),
withr (>= 2.0.0), pROC,",NA,"BradleyTerry2, e1071, earth (>= 2.2-3), fastICA, gam (>=
1.15), ipred, kernlab, knitr, klaR, MASS, ellipse, mda, mgcv,
mlbench, MLmetrics, nnet, party (>= 0.9-99992), pls, proxy,
randomForest, RANN, spls, subselect, pamr, superpc, Cubist,
testthat (>= 0.9.1), rpart, dplyr, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"caTools","caTools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.18.2",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"cellranger","cellranger","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"changer","changer","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.0.3",NA,"R (>= 3.5.0)","available, devtools, git2r",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"charlatan","charlatan","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.0",NA,NA,"R6 (>= 2.2.0), tibble (>= 1.2), whisker",NA,"testthat, knitr, rmarkdown, iptools, stringi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"checkmate","checkmate","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.0",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
0.11.0), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"chron","chron","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.3-56",NA,"R (>= 2.12.0)","graphics, stats",NA,"scales, ggplot2","zoo","GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"class","class","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","7.3-18","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"classInt","classInt","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4-3",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"cli","cli","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.3.0",NA,"R (>= 3.4)","glue (>= 1.6.0), utils",NA,"asciicast, callr, covr, digest, grDevices, htmltools,
htmlwidgets, knitr, methods, mockery, processx, ps (>=
1.3.4.9000), rlang, rmarkdown, rstudioapi, shiny, testthat,
tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"clipr","clipr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.7.1",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"clisymbols","clisymbols","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"clue","clue","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3-58",NA,"R (>= 3.2.0)","stats, cluster, graphics, methods",NA,"e1071, lpSolve (>= 5.5.7), quadprog (>= 1.4-8), relations","RWeka, ape, cba, cclust, flexclust, flexmix, kernlab, mclust,
movMF, modeltools","GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"cluster","cluster","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.1.1","recommended","R (>= 3.4.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"coda","coda","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.19-4",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"codetools","codetools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2-18","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.0.2"
"coin","coin","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4-1",NA,"R (>= 3.6.0), survival","methods, parallel, stats, stats4, utils, libcoin (>= 1.0-5),
matrixStats (>= 0.54.0), modeltools (>= 0.2-9), mvtnorm (>=
1.0-5), multcomp","libcoin (>= 1.0-5)","xtable, e1071, vcd, TH.data (>= 1.0-7)",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"colorspace","colorspace","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0-3",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"colourpicker","colourpicker","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.0",NA,"R (>= 3.1.0)","ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs (>= 2.0.0), utils",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5),
shinydisconnect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"commonmark","commonmark","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.7",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"compare","compare","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2-6",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"compiler","compiler","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.3","base",NA,NA,NA,NA,NA,"Part of R 4.0.3",NA,NA,NA,NA,NA,"4.0.3"
"CompQuadForm","CompQuadForm","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4.3",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"conflicted","conflicted","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.4",NA,"R (>= 3.2)","rlang (>= 0.3.4), memoise",NA,"covr, crayon, dplyr, pkgdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.1"
"conquer","conquer","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.2",NA,"R (>= 3.5.0)","Rcpp (>= 1.0.3), Matrix, matrixStats, stats","Rcpp, RcppArmadillo (>= 0.9.850.1.0)",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"contfrac","contfrac","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1-12",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.0"
"CORElearn","CORElearn","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.56.0",NA,NA,"cluster,stats,nnet,plotrix,rpart.plot",NA,"lattice,MASS,ExplainPrediction",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"corpcor","corpcor","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.6.9",NA,"R (>= 3.0.2)","stats",NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.0"
"correlation","correlation","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.6.0",NA,"R (>= 3.4)","bayestestR (>= 0.8.2), datasets, effectsize (>= 0.4.3),
insight (>= 0.12.0), parameters (>= 0.11.0), stats",NA,"BayesFactor, dplyr, energy, forcats, ggcorrplot, ggplot2, gt,
Hmisc, knitr, lme4, polycor, ppcor, psych, rmarkdown, rmcorr,
rstanarm, see, spelling, testthat (>= 3.0.1), tidyr, wdm, WRS2",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"corrplot","corrplot","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.92",NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
